Lat,Lon,Time,Line,Brigade
52.209989,21.004196,2024-02-24 18:06:37,119,2
52.234688,21.115236,2024-02-23 23:19:32,213,5
52.234758,21.114889,2024-02-20 10:48:23,213,3
52.160197,21.2110371,2024-02-24 18:06:38,213,4
52.234498,21.11596,2024-02-24 08:41:44,213,1
52.234681,21.115033,2024-02-24 13:13:23,213,2
52.1649715,21.2209,2024-02-24 18:06:36,213,3
52.2040575,21.1662488,2024-02-24 18:06:42,219,1
52.4322378,21.1579875,2024-02-24 12:16:46,L-8,1
52.4263755,21.1955358,2024-02-24 17:22:20,L-8,M1
52.412832,20.8838581,2024-02-24 13:37:35,L49,1
52.1099821,20.9924613,2024-02-24 18:06:40,L33,1
52.401231,20.8923425,2024-02-24 18:06:41,L49,1
52.2140643,21.1403553,2024-02-24 18:06:36,213,5
52.222794,21.1020036,2024-02-24 18:06:42,219,3
52.23458,21.115308,2024-02-24 02:23:27,219,1
52.234466,21.114128,2024-02-23 13:08:55,213,2
52.222718,21.102521,2024-02-24 18:06:33,213,1
52.2136646,21.1028598,2024-02-24 18:06:37,213,2
52.1904086,21.146282,2024-02-24 18:06:37,219,2
52.179821,21.023378,2024-02-24 18:06:41,108,2
52.1759361,21.0446304,2024-02-24 18:06:42,108,1
52.18829,20.995207,2024-02-23 19:17:18,163,01
52.1884194,20.9958984,2024-02-24 12:03:09,108,2
52.1868806,20.9962487,2024-02-24 01:04:17,164,05
52.1862425,20.9979232,2024-02-23 09:33:42,107,1
52.185791,20.996601,2024-02-24 00:59:49,108,5
52.188483,20.9960195,2024-02-24 15:46:32,163,02
52.1860425,20.9979991,2024-02-23 22:00:00,108,4
52.1881827,20.9948749,2024-02-24 12:01:17,163,03
52.185837,20.992847,2024-02-24 18:06:40,218,4
52.2280854,21.0225801,2024-02-24 18:06:40,108,3
52.188465,20.995655,2024-02-24 12:24:27,239,776
52.1884,20.995199,2024-02-24 15:41:26,239,777
52.185734,20.997196,2024-02-24 10:47:11,108,5
52.137895,21.058948,2024-02-24 18:06:28,192,M2
52.188477,20.995789,2024-02-24 09:14:59,200,2
52.2163229,21.0429369,2024-02-24 18:06:42,108,399
52.1881819,20.9951887,2024-02-24 06:35:44,208,06
52.1883704,20.9951842,2024-02-24 15:37:51,208,05
52.265996,21.042654,2024-02-23 22:36:57,107,2
52.263918,21.046568,2024-02-15 07:45:40,107,2
52.268585,21.037088,2024-02-24 18:06:28,212,3
52.264548,21.04522,2024-02-24 00:14:05,107,8
52.266091,21.043434,2024-02-23 21:03:45,107,4
52.264103,21.048108,2024-02-23 16:27:00,107,8
52.299235,20.9935733,2024-02-24 18:06:41,736,1
52.3020076,21.0567765,2024-02-24 18:06:35,212,5
52.264723,21.044703,2024-02-24 00:41:50,204,05
52.200296,20.892956,2024-02-24 18:06:25,228,1
52.196784,20.918358,2024-02-24 11:55:03,208,591
52.196881,20.921543,2024-02-24 11:33:26,228,2
52.2008033,20.9465,2024-02-24 18:06:23,228,3
52.196863,20.921418,2024-02-23 23:47:14,228,1
52.210226,20.975705,2024-02-24 18:06:29,208,2
52.196728,20.918528,2024-02-13 08:52:19,207,4
52.2020983,20.9563117,2024-02-24 18:06:30,208,591
52.1969033,20.919635,2024-02-13 07:31:20,207,3
52.200493,20.944988,2024-02-24 18:06:21,228,2
52.188526,20.995809,2024-02-24 14:16:09,192,2
52.1859669,21.0645337,2024-02-24 18:06:41,263,2
52.1782686,21.049076,2024-02-24 18:06:41,263,3
52.1613434,21.0985624,2024-02-24 18:06:41,263,5
52.1461895,21.0382994,2024-02-24 18:06:40,192,M1
52.1857589,20.997425,2024-02-24 14:12:26,208,04
52.1859941,20.9969206,2024-02-24 13:51:07,108,3
52.1398281,21.0577415,2024-02-24 18:06:41,192,M3
52.1883729,20.995123,2024-02-24 18:01:04,107,6
52.148014,21.056948,2024-02-24 18:06:39,263,4
52.187687,20.99523,2024-02-23 10:10:49,339,03
52.1884782,20.9956489,2024-02-24 14:29:28,339,03
52.1885234,20.9959299,2024-02-24 15:29:13,192,3
52.1890132,21.0007384,2024-02-24 18:06:41,200,1
52.188202,20.995428,2024-02-24 17:21:28,200,M2
52.1849539,20.9885642,2024-02-24 18:06:41,218,3
52.150963,21.047127,2024-02-24 18:06:40,263,1
52.180004,21.018766,2024-02-24 18:06:40,218,1
52.187969,20.995853,2024-02-24 18:06:41,192,M4
52.1798559,21.0236629,2024-02-24 18:06:41,218,2
52.2640595,21.0466011,2024-02-24 00:23:34,197,3
52.264918,21.044534,2024-02-23 19:30:23,118,05
52.264854,21.0452493,2024-02-23 21:37:08,170,06
52.2649168,21.0461316,2024-02-24 18:06:36,106,08
52.2648775,21.0445473,2024-02-23 19:11:40,338,02
52.2649176,21.0443805,2024-02-23 19:21:17,221,02
52.2644741,21.045358,2024-02-23 18:27:57,338,04
52.264963,21.044471,2024-02-23 19:53:06,123,09
52.26467,21.0449023,2024-02-23 19:22:43,338,01
52.264069,21.048126,2024-02-24 02:56:48,118,1
52.325265,21.2849578,2024-02-22 14:14:14,L27,1
52.4222086,21.1799928,2024-02-24 08:30:48,L27,2
52.1320244,21.0181429,2024-02-24 18:06:41,739,424
52.0792302,21.0221099,2024-02-24 18:06:40,727,428
52.22068,21.044851,2024-02-24 18:06:40,141,9
52.188385,20.995352,2024-02-24 08:36:33,119,06
52.208485,21.013134,2024-02-24 18:06:42,168,2
52.179752,21.024282,2024-02-24 18:06:40,165,1
52.1763757,21.0026732,2024-02-24 18:06:40,165,2
52.080597,21.039778,2024-02-24 18:06:40,739,425
52.206966,21.08379,2024-02-24 18:06:41,168,6
52.1582409,21.0023932,2024-02-24 18:06:40,165,3
52.1330377,21.0178087,2024-02-24 18:06:41,709,427
52.2022836,21.0347304,2024-02-24 18:06:42,141,8
52.1697441,20.9974136,2024-02-24 18:06:40,165,4
52.1292472,21.0682577,2024-02-24 18:06:41,166,8
52.1798561,21.0242847,2024-02-24 18:06:08,739,423
52.1793617,21.024693,2024-02-24 18:06:41,139,1
52.109707,21.113121,2024-02-24 18:06:40,139,2
52.188477,20.996101,2024-02-24 12:18:37,218,1
52.188377,20.995296,2024-02-24 09:57:34,218,5
52.1703277,21.0407016,2024-02-24 18:06:40,166,1
52.188491,20.9950854,2024-02-24 10:33:56,251,61
52.234393,21.0975592,2024-02-24 18:06:41,168,5
52.093121,21.035738,2024-02-24 18:06:41,739,426
52.264646,21.044975,2024-02-23 18:14:07,338,03
52.26471,21.044785,2024-02-24 00:07:57,197,010
52.2330637,21.1169559,2024-02-24 14:28:11,N03,3
52.2143919,21.2175345,2024-02-24 18:06:40,173,4
