Lat,Lon,Time,Line,Brigade
52.1602946,21.2079851,2024-02-23 23:33:23,213,3
52.234688,21.115236,2024-02-23 23:19:32,213,5
52.234758,21.114889,2024-02-20 10:48:23,213,3
52.234353,21.115281,2024-02-23 19:10:08,213,3
52.227371,21.094381,2024-02-23 23:33:08,213,1
52.204948,21.167661,2024-02-23 23:32:16,213,2
52.234943,21.116266,2024-02-23 23:33:17,213,4
52.2343913,21.115364,2024-02-23 18:37:09,225,501
52.4328061,21.0770893,2024-02-23 23:31:32,L-8,1
52.4193179,21.1841005,2024-02-23 20:47:35,L31,1
52.4128691,20.8838988,2024-02-23 23:24:19,L49,1
52.0687563,21.0999038,2024-02-23 23:33:24,L24,696
52.382984,21.1389581,2024-02-23 19:50:51,L-8,02
52.234458,21.115784,2024-02-23 16:34:23,196,03
52.234673,21.115171,2024-02-23 19:21:23,196,03
52.234551,21.115338,2024-02-23 23:05:35,219,1
52.234466,21.114128,2024-02-23 13:08:55,213,2
52.234505,21.1178283,2024-02-23 23:33:25,219,2
52.234543,21.115255,2024-02-23 22:36:26,219,3
52.234475,21.116013,2024-02-23 21:59:32,311,502
52.215713,21.04583,2024-02-23 23:33:25,108,3
52.1874517,20.9960034,2024-02-23 23:31:48,108,1
52.18829,20.995207,2024-02-23 19:17:18,163,01
52.1796547,21.0241345,2024-02-23 23:33:25,108,2
52.1868794,20.9962274,2024-02-23 23:33:25,164,05
52.1862425,20.9979232,2024-02-23 09:33:42,107,1
52.2161762,21.0438732,2024-02-23 23:33:25,108,5
52.1885274,20.9959892,2024-02-23 20:09:36,163,02
52.1860425,20.9979991,2024-02-23 22:00:00,108,4
52.1880619,20.9956079,2024-02-23 18:43:24,163,03
52.1885145,20.995889,2024-02-23 20:22:05,339,01
52.1885016,20.9957409,2024-02-23 19:54:21,339,02
52.18808,20.995474,2024-02-23 20:09:42,239,776
52.18841,20.9951772,2024-02-23 20:37:14,239,777
52.185719,20.997175,2024-02-23 14:43:08,108,5
52.186636,21.024879,2024-02-23 23:16:46,N37,399
52.188469,20.995749,2024-02-23 23:33:22,200,2
52.1863669,20.9962684,2024-02-23 14:18:20,107,7
52.1882394,20.9953619,2024-02-23 20:20:42,208,06
52.188373,20.995266,2024-02-23 20:37:21,208,05
52.265996,21.042654,2024-02-23 22:36:57,107,2
52.263918,21.046568,2024-02-15 07:45:40,107,2
52.264735,21.046068,2024-02-23 19:14:11,204,04
52.2444833,20.979325,2024-02-23 23:33:18,107,8
52.266091,21.043434,2024-02-23 21:03:45,107,4
52.264103,21.048108,2024-02-23 16:27:00,107,8
52.264594,21.046106,2024-02-23 19:01:50,204,06
52.264636,21.046193,2024-02-23 18:15:59,204,03
52.264863,21.044526,2024-02-23 23:33:10,204,05
52.2102383,20.97556,2024-02-23 23:33:21,208,2
52.196793,20.918628,2024-02-23 23:33:17,208,591
52.19684,20.918565,2024-02-23 23:01:57,228,3
52.196451,20.922301,2024-02-23 11:58:52,208,2
52.19711,20.920815,2024-02-23 23:33:13,228,1
52.196964,20.921328,2024-02-23 22:46:51,207,1
52.196728,20.918528,2024-02-13 08:52:19,207,4
52.196763,20.918591,2024-02-23 22:46:53,228,2
52.1969033,20.919635,2024-02-13 07:31:20,207,3
52.1965683,20.922815,2024-02-23 23:33:21,207,2
52.18819,20.995501,2024-02-23 20:03:01,192,2
52.188488,20.995586,2024-02-23 19:11:50,208,03
52.151131,21.04752,2024-02-23 23:33:25,263,4
52.195717,21.046942,2024-02-23 23:33:21,107,7
52.1884364,20.9951522,2024-02-23 23:33:24,107,1
52.1882956,20.9953296,2024-02-23 22:40:09,208,04
52.186455,20.996246,2024-02-23 23:33:25,107,3
52.18853,20.995813,2024-02-23 20:37:56,192,4
52.1884364,20.9950972,2024-02-23 22:57:22,107,6
52.1879092,20.9954822,2024-02-23 23:33:24,192,1
52.187687,20.99523,2024-02-23 10:10:49,339,03
52.188439,20.995588,2024-02-23 19:47:07,339,03
52.1885379,20.995979,2024-02-23 20:15:34,192,3
52.1859874,20.996509,2024-02-23 23:33:24,164,05
52.188377,20.994997,2024-02-23 20:12:14,164,04
52.186253,20.997833,2024-02-23 20:32:37,263,06
52.188263,20.995466,2024-02-23 21:28:12,107,9
52.188187,20.995613,2024-02-23 19:00:10,192,06
52.188492,20.996088,2024-02-23 20:29:45,192,5
52.1882531,20.9951724,2024-02-23 19:24:32,200,1
52.2769415,20.9485526,2024-02-23 23:33:24,197,3
52.264918,21.044534,2024-02-23 19:30:23,118,05
52.264854,21.0452493,2024-02-23 21:37:08,170,06
52.26505,21.044263,2024-02-23 19:11:41,106,08
52.2648775,21.0445473,2024-02-23 19:11:40,338,02
52.2649176,21.0443805,2024-02-23 19:21:17,221,02
52.2644741,21.045358,2024-02-23 18:27:57,338,04
52.264963,21.044471,2024-02-23 19:53:06,123,09
52.26467,21.0449023,2024-02-23 19:22:43,338,01
52.264176,21.048175,2024-02-23 22:42:31,118,1
52.325265,21.2849578,2024-02-22 14:14:14,L27,1
52.4219773,21.1806315,2024-02-23 19:37:04,L27,2
52.187054,20.997538,2024-02-23 23:10:56,263,5
52.188,20.995584,2024-02-23 20:47:36,106,7
52.186337,20.997946,2024-02-23 23:33:25,106,4
52.1883285,20.9952789,2024-02-23 23:22:00,119,06
52.1877999,20.9955872,2024-02-23 22:46:47,166,661
52.1503482,21.0509119,2024-02-23 23:33:26,263,3
52.1880166,20.9956667,2024-02-23 21:21:15,218,4
52.1880977,20.9962612,2024-02-23 21:30:13,118,4
52.1860985,20.9979817,2024-02-23 22:53:21,263,1
52.1889472,21.0026905,2024-02-23 23:33:24,251,63
52.1782542,21.049021,2024-02-23 23:33:26,263,2
52.1885037,20.9960074,2024-02-23 19:26:34,739,013
52.186203,20.997946,2024-02-23 14:37:36,263,2
52.1888875,20.9962386,2024-02-23 23:33:25,218,2
52.1884,20.995178,2024-02-23 23:33:19,106,2
52.1878444,20.9954599,2024-02-23 23:05:00,168,7
52.188282,20.995356,2024-02-23 21:49:41,166,6
52.18795,20.995682,2024-02-23 22:09:23,218,1
52.187977,20.995691,2024-02-23 23:33:25,218,5
52.2476864,20.9650871,2024-02-23 23:33:25,106,5
52.1036619,21.1139366,2024-02-23 23:33:26,251,61
52.187827,20.9954722,2024-02-23 22:26:50,139,62
52.0935717,21.1305456,2024-02-23 23:33:26,251,64
52.264646,21.044975,2024-02-23 18:14:07,338,03
52.2637775,21.0471676,2024-02-23 23:33:23,197,010
52.233224,21.118079,2024-02-23 23:33:08,N03,3
52.22087,21.0900355,2024-02-23 23:33:25,147,1
52.256916,21.177906,2024-02-23 23:33:24,153,2
52.1594972,21.2046026,2024-02-23 23:33:25,146,2
52.2332902,21.1155559,2024-02-23 23:06:16,153,3
52.2446644,21.0870237,2024-02-23 23:33:25,183,2
52.209652,21.1716235,2024-02-23 23:33:25,119,1
52.2770982,21.1703337,2024-02-23 23:33:25,115,3
52.2330509,21.1168244,2024-02-23 23:33:26,115,4
52.2499537,21.0441289,2024-02-23 23:33:25,123,297
52.2200696,21.0883114,2024-02-23 23:33:25,146,4
52.2918342,21.0514755,2024-02-23 23:33:26,N02,4
52.234612,21.116924,2024-02-23 19:44:45,147,1
52.2394682,21.1537747,2024-02-23 23:33:24,173,5
52.233089,21.116495,2024-02-23 01:34:51,219,2
52.23727,21.130869,2024-02-23 23:33:24,N02,6
52.2338536,21.1141522,2024-02-23 23:33:24,183,6
52.2225122,21.0880762,2024-02-23 23:33:24,N72,214
52.2332502,21.1175282,2024-02-23 20:49:17,117,3
52.2661766,21.0434806,2024-02-23 20:49:31,204,05
52.2647495,21.0447371,2024-02-23 22:50:27,122,8
52.266209,21.0434763,2024-02-23 21:39:06,178,012
52.2662288,21.0433831,2024-02-23 22:36:23,170,05
52.276009,20.9592508,2024-02-23 23:33:24,156,2
52.2650018,21.0442661,2024-02-23 19:55:11,106,09
